Gene	AMLstat	factor1	factor2	alpha	ProbStat	ProbFactor	ProbAlpha	CMATstat	AMLpvalue	Probpvalue	CMATpvalue	NumValidSNPs	NumIndepSNPs	TotalRareAlleles
ABCA13	0.0576335	0.562063	0.001	0.2	0.0785889	0.288304	1	0.0785889	0.8379	0.6211	0.6826	56	2	8
MBL2	0.00641503	-0.25562	0.001	0.2	0.0327425	-0.10873	1	0.0327425	0.8382	0.6862	0.8103	7	1	23
GPC6	0.0420172	-0.383702	0.001	0.2	0.137929	-0.472269	0.414507	0.137492	0.8395	0.7846	0.7746	123	12	32
SPATA17	0.016312	0.39701	0.001	0.2	0.000870986	0.0382361	1	0.000870986	0.8396	0.8396	1	6	3	5
PRUNE2	0.0342885	-0.333637	0.001	0.2	0.0445247	-0.219744	1	0.0445247	0.8397	1	1	18	6	8
MAGEA8	0.0133947	-0.364	0.001	0.2	0.0661533	-0.152498	1	0.0661533	0.8398	0.8398	0.8398	1	1	25
KLF8	0.0285671	-0.279211	0.001	0.2	-0.280732	-5	0.227761	0.0424828	0.8402	1	0.812	14	6	83
SLC27A6	0.0323747	0.530441	0.001	0.2	3.18E-05	0.00656019	1	3.18E-05	0.8406	1	1	9	2	6
SPATS2	0.0164946	-0.333134	0.001	0.2	0.0923169	-0.272402	1	0.0923169	0.8413	0.7789	0.7641	17	4	11
ANKRD36	0.00595191	-0.246621	0.001	0.2	0.030354	-0.0483605	1	0.030354	0.8415	0.8183	0.7927	4	1	118
FAM129C	0.118216	-0.671494	0.001	0.2	0.447377	-0.992278	1	0.447377	0.8418	0.8418	0.8418	13	3	5
"FAM47E,FAM47E-STBD1"	0.0182779	-0.322854	0.001	0.2	0.105305	-0.383068	1	0.105305	0.8419	0.757	0.7106	7	2	7
AP5Z1	0.085743	0.590198	0.001	0.2	0.20252	0.557898	1	0.20252	0.8423	0.8646	0.8511	6	3	6
NLRP5	-0.000254579	0.00403706	0.001	0.2	0.000169006	-0.0151531	1	0.000169006	0.8425	1	1	13	4	6
CCDC179	0.0270486	0.411565	0.001	0.2	0.0144377	0.143013	1	0.0144377	0.8432	0.886	0.8949	2	2	6
THSD4	0.0256251	-0.317408	0.001	0.2	0.137681	0.16185	1	0.137681	0.8433	0.713	0.6781	48	6	45
HS3ST3A1	0.0268112	-0.303594	0.001	0.2	0.0696837	-0.317708	1	0.0696837	0.8437	0.8815	0.8509	17	4	7
HIST1H1A	0.00898112	-0.216874	0.001	0.2	0.0550281	-0.233348	1	0.0550281	0.8442	0.8028	0.8028	4	2	9
CDH13	0.0353111	0.768922	0.001	0.0654923	0.149775	0.909282	0.163631	0.00457249	0.8448	0.7995	0.9462	255	25	98
FHOD3	0.0423234	0.393657	0.001	0.2	0.114644	0.369072	1	0.114644	0.8472	0.7681	0.7681	79	3	7
CLEC3A	0.00469147	-0.220181	0.001	0.2	0.0242968	-0.0881052	1	0.0242968	0.8476	0.8476	0.8476	2	1	28
KCND2	0.0382008	-0.44794	0.001	0.2	0.00596501	0.0789845	0.774926	0.00023184	0.8489	0.9066	0.9003	19	6	13
ETV1	0.00188603	0.112722	0.001	0.2	0.0425852	0.236848	1	0.0425852	0.851	1	0.851	29	3	7
SLFN11	0.00361793	0.194729	0.001	0.2	0.0187777	0.0292264	1	0.0187777	0.851	0.8438	0.8454	2	1	203
SLFN12	0.00361793	0.194729	0.001	0.2	0.0187777	0.0292264	1	0.0187777	0.851	0.8438	0.8454	4	1	203
PEMT	0.0019385	-0.103632	0.001	0.2	0.000751338	-0.0354999	1	0.000751338	0.8522	0.8522	1	13	4	5
"NTAN1,PDXDC1"	0.00704918	-0.267428	0.001	0.2	0.0358094	-0.104991	1	0.0358094	0.8533	0.8488	0.7982	3	1	28
PDXDC1	0.00704918	-0.267428	0.001	0.2	0.0358094	-0.104991	1	0.0358094	0.8533	0.8488	0.7982	2	1	28
"PDXDC1,RRN3"	0.00704918	-0.267428	0.001	0.2	0.0358094	-0.104991	1	0.0358094	0.8533	0.8488	0.7982	2	1	28
RRN3	0.00704918	-0.267428	0.001	0.2	0.0358094	-0.104991	1	0.0358094	0.8533	0.8488	0.7982	1	1	28
VWA1	0.00284233	-0.17396	0.001	0.2	0.0151524	-0.0631138	1	0.0151524	0.8536	0.8536	0.8536	1	1	33
ZNF813	0.0108073	0.328343	0.001	0.2	0.0534513	0.114034	1	0.0534513	0.8537	0.7917	0.7642	13	1	37
DOCK4	0.041234	-0.280259	0.001	0.2	0.028073	-0.0868647	1	0.028073	0.8561	0.9342	0.9231	85	10	31
DAW1	0.0702464	-0.681276	0.001	0.2	0.197751	-5	0.393636	0.0327973	0.8564	0.7606	1	7	3	6
DLC1	0.0279548	0.219662	0.001	0.2	0.149389	0.181249	1	0.149389	0.8578	0.7739	0.6984	99	16	38
TMEM132C	0.0279635	-0.374386	0.001	0.2	0.0671272	-1.37231	0.253535	0.0609528	0.8579	0.7953	0.7812	40	7	10
PIEZO1	0.0163141	0.239817	0.001	0.2	0.0146992	0.104888	1	0.0146992	0.8581	0.9442	1	14	4	11
SCN7A	0.0906387	-0.590855	0.001	0.2	0.334023	-0.864376	1	0.334023	0.8585	0.8585	0.8585	35	3	5
CCDC141	0.0225049	0.371581	0.001	0.2	0.245314	0.546029	1	0.245314	0.8585	0.8407	0.807	16	3	7
TENM3	0.0301023	0.338218	0.001	0.2	0.100301	0.304325	1	0.100301	0.8587	0.8188	0.8091	27	6	9
DHTKD1	0.0335705	-0.368152	0.001	0.2	0.132179	-0.419734	1	0.132179	0.8598	0.7737	0.7737	6	3	7
RAB17	0.0400107	0.404213	0.001	0.2	0.0219558	0.120981	1	0.0219558	0.8598	0.9281	0.9295	25	3	13
FLG2	0.0169159	0.364078	0.001	0.2	-0.0911167	5	0.235258	-17.8199	0.8607	1	1	11	2	110
NLRP12	0.0216601	0.352314	0.001	0.2	0.348192	0.437471	1	0.348192	0.8608	0.4856	0.5215	14	5	15
ZNF677	0.0174263	0.296192	0.001	0.2	0.0771756	0.231204	1	0.0771756	0.8609	0.6825	0.683	4	2	12
CSGALNACT1	0.0241539	-0.253904	0.001	0.2	0.000364486	0.0121587	1	0.000364486	0.8614	1	1	63	5	22
SLCO1B7	0.00178697	0.140731	0.001	0.2	0.00986984	0.0497002	1	0.00986984	0.8616	0.8616	0.8616	20	1	34
HECW1	0.00183466	-0.142403	0.001	0.2	0.00981361	-0.0471445	1	0.00981361	0.8642	0.8642	0.8642	3	1	36
KIAA1328	0.0202216	0.297443	0.001	0.2	0.002106	-0.0435924	1	0.002106	0.8673	0.8498	0.944	18	4	9
SFI1	0.0507306	0.300388	0.001	0.2	0.188451	0.310867	1	0.188451	0.8677	0.865	0.8646	40	8	18
CHST9	0.0418102	-0.388211	0.001	0.2	0.27696	-0.436891	1	0.27696	0.8684	0.7611	0.7835	178	7	15
COL18A1	0.0777942	0.565086	0.001	0.2	0.19373	0.567739	1	0.19373	0.8688	0.8688	0.8688	17	3	5
TUBA1C	0.000630649	-0.0244972	0.0265511	0.2	0.00133557	0.0482253	1	0.00133557	0.8702	1	0.8702	10	4	5
DTX2	0.00595758	-0.222343	0.001	0.2	0.00123633	-0.010741	1	0.00123633	0.8708	0.9661	0.9888	2	2	92
"GCOM1,MYZAP"	0.0112147	-0.303305	0.001	0.2	1.90E-06	-0.0013167	1	1.90E-06	0.8714	1	0.9644	24	3	9
ADAMTS2	-0.000102873	-0.027485	0.001	0.2	0.00100456	0.0410126	1	0.00100456	0.8718	1	0.8718	9	4	5
ITSN1	0.035606	0.745339	0.001	0.2	0.403986	0.568058	1	0.403986	0.8718	0.4777	0.5307	6	2	11
NLRP2	0.0383868	-0.471272	0.001	0.2	0.0515152	-0.288721	1	0.0515152	0.8732	0.9544	1	9	2	6
TMEM232	0.0247717	-0.32016	0.001	0.2	0.0122477	-0.104527	1	0.0122477	0.874	0.9474	0.9864	16	4	12
SPATA22	0.000713238	-0.080496	0.001	0.2	0.00117851	-0.037967	1	0.00117851	0.8741	1	1	10	2	7
TBL1X	0.121133	0.587306	0.001	0.2	0.33382	0.690369	1	0.33382	0.8744	0.8006	0.8006	43	4	6
PFKP	0.00997109	0.191097	0.001	0.2	0.0604784	0.170985	1	0.0604784	0.8748	0.877	0.8738	28	3	17
BBS9	0.00783698	0.0457158	0.101474	0.2	0.02572	3.43822	0.282784	0.000259015	0.8751	0.8174	0.8174	22	4	6
SLC25A26	0.0187594	0.102245	0.134722	0.2	0.0273467	1.706	0.180587	2.13E-05	0.8771	0.849	0.8524	68	7	11
KIAA1456	0.0563158	-0.595936	0.001	0.2	0.0629525	-0.324039	1	0.0629525	0.8781	1	1	19	2	5
KLHDC4	0.0127971	-0.217085	0.001	0.2	0.00273428	0.0347159	1	0.00273428	0.8792	1	1	9	4	20
APOBEC3D	0.0278931	0.460782	0.001	0.2	0.000822058	0.0334028	1	0.000822058	0.88	0.7523	0.8298	2	2	6
KIAA0391	0.0123094	0.252245	0.001	0.2	0.216207	0.306462	1	0.216207	0.8804	0.7377	0.6958	9	3	20
ACSBG2	0.0558453	-0.399967	0.001	0.2	0.145005	-0.467229	1	0.145005	0.8807	0.8807	0.8807	8	4	6
TPK1	0.0146092	-0.260259	0.001	0.2	0.114168	1.29718	0.1	0.062046	0.8837	0.7389	0.8505	93	7	16
RLN1	0.00435016	0.15439	0.001	0.2	0.00648683	0.0140396	1	0.00648683	0.8844	0.8938	0.8985	2	2	283
"ATM,C11orf65"	0.0153136	-0.254295	0.001	0.2	0.0469923	-0.25071	1	0.0469923	0.8848	1	1	16	4	6
SYTL3	0.0132073	0.384237	0.001	0.2	0.0225691	0.349587	0.409981	0.0213738	0.8853	0.8639	0.8639	15	5	9
BZW2	0.0098053	0.179357	0.001	0.2	0.0162677	0.103301	1	0.0162677	0.8856	0.9104	0.965	6	5	13
FRMD4A	0.0160906	-0.173603	0.001	0.2	0.0437048	-0.142364	1	0.0437048	0.8866	0.8797	0.8404	77	12	20
ZNF765-ZNF761	0.00469057	-0.161336	0.001	0.2	0.00911879	-0.0393956	1	0.00911879	0.8891	0.9588	0.9731	7	2	53
MTA3	0.0112221	0.385724	0.001	0.2	0.051861	0.258354	1	0.051861	0.8901	0.7875	1	10	4	8
MSR1	0.00888194	-0.208722	0.001	0.2	-0.104809	-1.02423	0.1	0.0971194	0.8904	0.9855	0.5216	17	3	198
DMD	0.0248496	-0.183716	0.001	0.2	0.122363	-0.126534	1	0.122363	0.8925	0.8511	0.8266	170	21	66
CHST6	0.116116	-0.65677	0.001	0.2	0.336871	-0.739238	1	0.336871	0.8964	0.8964	0.8964	20	3	5
SGMS1	0.100759	-0.65927	0.001	0.2	0.319015	-0.82917	1	0.319015	0.8983	0.8983	0.8983	47	3	5
WDR27	0.0151905	0.472463	0.001	0.2	0.00648301	-1.44168	0.105622	0.000627291	0.8989	0.8989	1	13	3	5
EML6	0.000434358	-0.0124453	0.0199736	0.2	0.00245046	0.920391	0.1	0.000582193	0.8996	1	1	27	5	7
ABCC9	0.0200777	0.365033	0.001	0.2	-0.105307	5	0.218833	0.00282024	0.9008	1	0.8424	9	2	21
SEMA6D	0.00888245	0.139522	0.001	0.2	0.0133257	0.0497041	1	0.0133257	0.9011	0.923	0.9079	74	10	53
CDH12	0.0577092	0.558716	0.001	0.2	0.0240885	5	0.292442	0.024424	0.9017	1	0.9743	102	4	9
ULK4	0.00921467	-0.149588	0.001	0.2	0.00341479	0.0293826	1	0.00341479	0.9018	0.9457	1	78	5	33
ROS1	0.0218462	-0.236863	0.001	0.2	0.053532	-0.203463	1	0.053532	0.9024	0.864	0.8199	40	10	12
DACH2	0.032362	0.262585	0.001	0.2	0.100751	0.224573	1	0.100751	0.9031	0.8591	0.8533	45	6	22
ADGRL3	0.00865391	0.183044	0.001	0.2	0.0866519	-0.182834	1	0.0866519	0.9031	0.8111	0.7706	20	7	24
TNFRSF19	0.0138999	-0.266454	0.001	0.2	0.0631683	-0.258916	1	0.0631683	0.904	0.8177	0.8177	19	2	9
MTMR7	0.0180333	-0.202995	0.001	0.2	0.0383449	-0.214076	1	0.0383449	0.9045	1	1	15	6	8
RAB19	0.00873844	-0.170938	0.001	0.2	-0.0949996	-0.806478	0.1	0.0116536	0.9054	0.9695	0.6817	14	5	201
SUCLG2	0.0836976	-0.493829	0.001	0.2	0.160899	-0.353829	1	0.160899	0.9058	0.8587	0.9247	46	5	11
EPB41L4A	0.0323452	0.285178	0.001	0.2	0.0911802	0.274006	1	0.0911802	0.9061	0.8769	0.8807	28	7	10
FANCB	0.0162692	0.294218	0.001	0.2	0.0529056	0.222371	1	0.0529056	0.9064	0.8093	0.8093	11	2	9
AGAP1	0.0161179	0.16487	0.0769026	0.2	0.0101965	5	0.268269	0.0559988	0.9072	0.919	0.9015	84	11	25
TBXAS1	0.00707094	0.213709	0.001	0.2	0.00257004	-0.0471961	1	0.00257004	0.9073	1	1	21	5	10
NPFFR2	0.0219758	0.393057	0.001	0.2	-0.0956083	5	0.230563	0.00612577	0.9079	1	0.9363	22	2	17
OPRD1	0.250202	0.859861	0.001	0.2	0.965127	1.38754	1	0.965127	0.9081	0.9063	0.9063	10	3	6
KATNAL2	0.024133	0.348949	0.001	0.2	0.0125197	0.122814	1	0.0125197	0.9086	1	1	7	4	9
ERC1	0.00866109	0.152374	0.001	0.2	0.00947249	0.0463783	1	0.00947249	0.9089	0.9121	0.8995	166	7	37
MIPEP	0.00175013	0.111067	0.001	0.2	0.00057672	0.0225268	1	0.00057672	0.9098	0.7995	0.8597	33	2	11
ROBO1	0.0148045	-0.176292	0.001	0.2	0.0823798	-0.198522	1	0.0823798	0.9102	0.881	0.8597	75	9	18
C16orf46	0.00440994	-0.167032	0.001	0.2	0.0100265	-0.0987382	1	0.0100265	0.9126	1	1	13	2	10
NCKAP5	0.0139458	-0.168864	0.001	0.2	0.0323017	0.0682636	1	0.0323017	0.913	0.9061	0.9059	85	14	60
GUCA1C	0.0157125	-0.24686	0.001	0.2	0.0234661	-0.159556	1	0.0234661	0.9143	0.9574	0.849	8	3	8
DCDC1	0.0138585	0.333856	0.001	0.2	0.00301616	-0.0615362	1	0.00301616	0.915	1	1	4	2	7
SLC35F3	0.00875729	-0.241086	0.001	0.2	0.00827271	-0.0873254	1	0.00827271	0.9168	1	1	22	5	9
ARHGEF10	0.0165134	-0.32143	0.001	0.2	0.000582417	-0.0246833	1	0.000582417	0.9211	1	1	55	2	9
PRKAG2	0.00435401	0.114893	0.001	0.2	0.000767612	0.0143631	1	0.000767612	0.9222	0.9621	1	15	5	35
TFCP2	0.125361	0.667928	0.001	0.2	0.393088	0.801783	1	0.393088	0.9223	0.9223	0.9223	25	3	5
ENOX1	0.00646091	-0.173519	0.001	0.2	0.00498583	-0.0768834	1	0.00498583	0.9238	1	1	72	5	7
LOXL2	0.071196	-0.435857	0.001	0.2	0.210899	-0.452752	1	0.210899	0.9267	0.9225	0.9708	95	5	9
PLXDC2	0.00496903	0.15808	0.001	0.2	0.123263	0.266133	1	0.123263	0.9289	0.7066	0.7216	68	3	16
CFAP61	0.0183178	0.269429	0.119264	0.2	0.0846429	2.04645	0.208548	0.0404851	0.9326	0.8656	0.8656	31	5	7
MALL	0.0021899	-0.154281	0.001	0.2	0.0118268	-0.0238167	1	0.0118268	0.9326	0.874	0.8737	4	1	182
NPHP1	0.0021899	-0.154281	0.001	0.2	0.0118268	-0.0238167	1	0.0118268	0.9326	0.874	0.8737	6	1	182
FGF13	0.0480093	0.604667	0.001	0.2	0.0629395	0.338452	1	0.0629395	0.9348	0.9348	1	20	3	5
CTNND2	0.00406749	-0.0550515	0.0367159	0.2	0.0295695	-1.38451	0.153089	0.000521131	0.9369	0.8789	0.8772	90	13	18
PCDH9	0.00408532	-0.099134	0.001	0.2	0.0654068	-0.117218	1	0.0654068	0.9369	0.8502	0.8292	41	9	40
CRISP2	0.139971	0.79677	0.001	0.2	0.509787	1.05749	1	0.509787	0.937	0.937	0.937	3	2	6
ZNRF3	0.0314377	0.583526	0.001	0.2	0.122771	1.36853	0.352303	0.113276	0.94	0.5407	0.4543	15	4	5
PRKCB	0.00600387	0.227281	0.001	0.2	0.134624	-0.276171	1	0.134624	0.9413	0.7939	0.6418	46	3	15
EFCAB6	0.00126889	-0.0773658	0.001	0.2	0.000433034	0.0146995	1	0.000433034	0.945	0.9677	1	17	4	18
ZNF804B	0.00612019	-0.309474	0.001	0.2	-0.0831148	2.95722	0.210943	0.176172	0.9467	1	0.6146	56	3	13
ELOVL6	0.00801409	-0.250963	0.001	0.2	0.00167291	0.0537828	1	0.00167291	0.9477	1	1	16	2	5
SUPT3H	0.00278072	0.103531	0.001	0.2	0.00714015	-0.0516435	1	0.00714015	0.949	0.9994	1	25	7	23
ADCY3	0.00431657	-0.126843	0.001	0.2	0.00259721	-0.0555691	1	0.00259721	0.9495	1	1	47	5	7
EPHA6	0.00299177	-0.111279	0.001	0.2	0.000755979	0.0240739	1	0.000755979	0.9508	1	1	33	4	13
FARS2	0.00297272	-0.0983418	0.001	0.2	0.00708857	0.0278769	1	0.00708857	0.9511	0.918	0.9071	86	9	79
NREP	0.00199359	-0.108661	0.001	0.2	0.00442084	-0.0846541	1	0.00442084	0.9518	1	1	21	4	6
FGGY	0.00236833	0.0948097	0.001	0.2	4.10E-05	0.00258579	1	4.10E-05	0.9523	0.9052	0.9672	37	5	53
NDUFAF2	0.00160272	-0.0849304	0.001	0.2	0.0822463	-0.217277	1	0.0822463	0.9527	0.8151	0.7879	13	4	15
"ARHGAP8,PRR5-ARHGAP8"	0.00149378	0.0813491	0.001	0.2	0.00164731	0.0268535	1	0.00164731	0.9527	0.9149	0.9164	28	6	20
RAD52	0.00123558	0.0669094	0.001	0.2	0.015359	0.0673269	1	0.015359	0.9531	0.9991	1	52	7	28
PSD3	0.00192159	0.0776627	0.001	0.2	-0.0762232	0.793368	0.0909091	0.0345992	0.9551	0.9135	0.7306	46	11	261
HNF4G	0.00378601	-0.092897	0.001	0.2	6.18E-09	-4.87E-05	1	6.18E-09	0.9582	0.9738	0.9989	77	10	22
SMYD3	0.0025113	-0.112487	0.001	0.2	0.0559504	0.112271	1	0.0559504	0.9585	0.8331	0.8461	132	4	38
FSTL5	0.00225003	0.107245	0.001	0.2	0.0301205	0.151183	1	0.0301205	0.9597	1	1	73	4	11
SLCO1B3	0.000246445	-0.0516818	0.001	0.2	0.0460093	-0.0473003	1	0.0460093	0.9628	0.713	0.8468	43	4	174
TRPM1	0.000228424	0.0825894	0.0324524	0.2	0.00912801	0.0661981	1	0.00912801	0.9632	1	1	33	3	17
SRRM4	0.00202826	0.1139	0.001	0.2	0.0286474	0.100584	1	0.0286474	0.9637	0.8459	0.7683	6	4	25
SLC12A8	0.00633799	-0.204861	0.001	0.2	0.00282141	0.0583419	1	0.00282141	0.9649	1	1	8	3	7
CDH18	0.00916315	-0.166455	0.001	0.2	0.00653938	-0.0660808	1	0.00653938	0.9649	1	1	84	4	13
CHRNB3	0.000312139	0.0560603	0.001	0.2	0.117557	-0.221154	1	0.117557	0.965	0.7937	0.7774	13	4	21
CTIF	0.00754732	0.138198	0.001	0.2	0.0300579	0.15041	1	0.0300579	0.9651	0.9884	0.957	65	8	11
CNTN6	-0.000242658	0.0347874	0.001	0.2	0.000821534	0.0164887	1	0.000821534	0.966	0.941	0.9902	74	4	27
DPP10	0.00168056	-0.1214	0.0163843	0.2	0.240644	-0.411131	1	0.240644	0.9662	0.6583	0.6139	45	5	13
ZNF182	0.00220414	0.129554	0.001	0.2	0.0412102	0.179478	1	0.0412102	0.9667	0.9315	0.9951	2	2	12
NLGN1	0.00751525	0.187436	0.001	0.2	0.0487968	0.208954	1	0.0487968	0.9695	0.9504	0.9282	44	7	10
MORN1	0.000935022	-0.0795444	0.001	0.2	0.0214539	0.122249	1	0.0214539	0.9713	0.9645	1	5	3	12
RGS7	-0.000205503	0.000491002	0.001	0.125	0.01573	-0.0757264	1	0.01573	0.9721	0.9653	0.9919	21	8	24
GRM7	0.000406329	-0.0452374	0.001	0.2	0.0341967	-0.0917873	1	0.0341967	0.9735	0.9145	0.8947	104	16	36
NLRP7	0.0186537	0.286541	0.001	0.2	0.0149847	0.143858	1	0.0149847	0.9755	0.9755	0.9755	11	3	6
ALS2CR12	7.54E-05	-0.0431293	0.001	0.2	0.0235309	0.127885	1	0.0235309	0.9755	0.9457	0.9087	19	5	12
NELL1	0.000129076	0.0445685	0.001	0.12188	0.024874	-0.0670231	1	0.024874	0.9761	0.8773	0.8929	133	13	47
ZNF43	0.0352249	0.46453	0.001	0.2	0.0609806	0.374139	1	0.0609806	0.9778	1	1	4	2	5
COL28A1	0.00194734	-0.0856063	0.001	0.2	0.0168155	-0.102841	1	0.0168155	0.9782	0.9715	0.9104	21	6	14
CEP57L1	0.000460281	-0.0571136	0.001	0.2	0.0595918	-0.210654	1	0.0595918	0.9786	0.8557	0.7977	21	5	15
LUZP2	0.0161657	0.204526	0.001	0.2	0.0116515	0.102546	1	0.0116515	0.9805	1	1	88	5	10
ANKS1B	-4.31E-05	0.0110918	0.001	0.0714286	0.611595	-0.119897	1	0.611595	0.9834	0.4751	0.3322	70	14	364
DYM	0.00475824	0.106464	0.001	0.2	0.0673066	0.207884	1	0.0673066	0.9837	0.9574	0.9444	72	6	13
BNC2	0.000329268	-0.0435055	0.001	0.171199	0.0256571	-0.112248	1	0.0256571	0.9837	0.9521	0.9481	79	13	17
SULT1A1	0.00085948	0.0793279	0.001	0.2	0.00635309	0.0570915	1	0.00635309	0.9852	0.8711	0.9257	5	2	16
CNTNAP2	-4.63E-05	-0.0400305	0.001	0.0526316	0.0476223	0.0595274	1	0.0476223	0.9853	0.8643	0.8324	123	19	116
ADAMTS20	0.0740614	-0.544617	0.001	0.2	0.199046	-0.683566	1	0.199046	0.9859	0.9859	0.9859	16	3	5
SLC25A21	1.85E-05	-0.0345454	0.001	0.125	2.78E-06	-0.000992089	1	2.78E-06	0.9882	0.9686	0.9185	89	8	26
DLG2	-0.000101918	-0.033234	0.001	0.04	0.264404	-0.115734	1	0.264404	0.989	0.6705	0.6053	141	25	177
CDKAL1	7.06E-06	0.0369058	0.001	0.1	0.0696716	0.179676	1	0.0696716	0.9906	0.8834	0.8669	87	10	19
CAMKMT	-1.10E-05	0.0430353	0.001	0.125	6.05E-05	0.00490824	1	6.05E-05	0.9906	0.9697	0.9909	21	8	21
B4GALNT2	0.00151464	0.104206	0.001	0.2	0.000424762	-0.0158284	1	0.000424762	0.9993	1	1	17	2	14
CNTLN	-0.000235442	-0.0256645	0.001	0.125	0.0111156	-0.0849254	1	0.0111156	0.9999	0.9623	0.9049	31	8	14
GSTO2	0.00715079	-0.269269	0.001	0.2	0.036553	-0.248626	1	0.036553	1	1	1	7	1	5
AHNAK	0.00449952	0.154329	0.001	0.2	0.0201744	0.200808	1	0.0201744	1	1	1	6	3	5
PRR5L	0.005555	0.265328	0.001	0.2	0.0289029	-0.22082	1	0.0289029	1	0.955	1	8	2	5
ATF1	0.00126366	-0.0912098	0.001	0.2	0.000180062	-0.0173173	1	0.000180062	1	1	1	10	4	5
FGD4	0.00123669	-0.0892831	0.001	0.2	0.0143233	-0.158509	1	0.0143233	1	1	1	12	3	5
SYT1	0.00184184	-0.144824	0.001	0.2	0.0181249	-0.173864	1	0.0181249	1	1	1	12	3	5
MCF2L	-6.18E-05	-0.029242	0.001	0.2	0.000538832	-0.0299382	1	0.000538832	1	1	0.9417	8	3	5
MOK	-0.000139932	-0.0244804	0.001	0.2	0.000299895	-0.0224596	1	0.000299895	1	1	1	6	1	5
RNASE13	0.00364208	0.195339	0.001	0.2	0.0187564	0.178599	1	0.0187564	1	0.9504	1	1	1	5
TPPP2	0.00364208	0.195339	0.001	0.2	0.0187564	0.178599	1	0.0187564	1	0.9504	1	2	1	5
FAM169B	0.0177304	0.416331	0.001	0.2	0.087278	0.381995	1	0.087278	1	1	1	6	1	5
GCNT3	-0.000184091	-0.0125462	0.001	0.2	7.87E-05	-0.0116204	1	7.87E-05	1	1	0.9541	3	1	5
PRC1	0.040085	0.389124	0.001	0.2	0.115221	0.438008	1	0.115221	1	0.9243	0.9243	5	3	5
RASGRF1	0.00627597	0.233712	0.001	0.2	0.00890448	-0.12275	1	0.00890448	1	1	1	10	2	5
GSG1L	0.00174348	-0.106596	0.001	0.2	0.000538832	-0.0299382	1	0.000538832	1	1	1	12	4	5
NECAB2	0.0140971	-0.498951	0.001	0.2	0.190364	-0.560968	1	0.190364	1	0.6914	0.5699	12	2	5
PIK3R6	0.00964178	-0.310821	0.001	0.2	0.0487019	-0.285692	1	0.0487019	1	1	1	3	1	5
PITPNC1	0.0112034	0.292333	0.001	0.2	0.0628171	0.32296	1	0.0628171	1	0.909	0.7868	25	3	5
LILRA4	0.000560971	-0.0871919	0.001	0.2	0.003817	-0.0804749	1	0.003817	1	1	1	11	1	5
LYPD5	-0.000148978	0.0126983	0.001	0.2	0.00513992	-0.0928153	1	0.00513992	1	1	1	20	3	5
MYBPC2	0.00170376	-0.137764	0.001	0.2	0.00953668	-0.128363	1	0.00953668	1	1	1	4	1	5
SLC7A9	0.00174839	-0.139363	0.001	0.2	0.00969449	-0.136831	1	0.00969449	1	1	0.8614	16	1	5
ZNF227	0.00397275	-0.203506	0.001	0.2	0.0208573	-0.190065	1	0.0208573	1	1	1	3	1	5
ZNF845	0.00653592	0.257915	0.001	0.2	0.0335347	0.235917	1	0.0335347	1	1	1	7	1	5
SMPDL3B	0.000188462	0.0543889	0.001	0.2	0.00103955	0.0417877	1	0.00103955	1	1	1	4	2	5
APOBEC3F	0.0149071	-0.383164	0.001	0.2	0.0739701	-0.35255	1	0.0739701	1	1	1	1	1	5
PARVB	0.00646136	-0.174125	0.001	0.2	0.00950831	-0.127424	1	0.00950831	1	0.8251	1	19	5	5
PITPNB	0.0120897	0.321476	0.001	0.2	0.000269026	0.0215293	1	0.000269026	1	1	1	8	2	5
LUZP4	0.00662697	-0.209752	0.001	0.2	5.30E-05	0.00965202	1	5.30E-05	1	1	1	10	2	5
PPP1R1C	1.22E-05	-0.0352169	0.001	0.2	0.000209593	0.0201187	1	0.000209593	1	1	1	13	3	5
TUBA3D	0.00542516	-0.235948	0.001	0.2	0.028054	-0.217249	1	0.028054	1	1	1	2	1	5
ATR	0.000230432	-0.0534064	0.001	0.2	1.73E-05	0.005379	1	1.73E-05	1	1	1	30	3	5
RSRC1	0.00281532	0.144463	0.0343813	0.2	0.0130243	-1.11093	0.181651	0.00621732	1	0.9754	1	17	4	5
HERC6	-0.000408227	0.016127	0.001	0.2	0.0122261	0.147429	1	0.0122261	1	1	1	15	3	5
KIAA1211	0.00157052	0.132872	0.001	0.2	0.00872643	0.121632	1	0.00872643	1	1	0.7655	33	1	5
SHROOM3	0.00604063	-0.248372	0.001	0.2	0.0311032	-0.227888	1	0.0311032	1	0.9111	0.9111	4	1	5
NUDT1	0.00897277	-0.300264	0.001	0.2	0.0454369	-0.276733	1	0.0454369	1	1	1	3	1	5
CYP11B2	0.0208957	-0.352947	0.001	0.2	0.016755	-0.168333	1	0.016755	1	0.9404	1	7	2	5
OC90	0.000775614	0.0987073	0.001	0.2	0.00477894	0.120432	1	0.00477894	1	1	1	3	1	5
SMARCA2	9.11E-05	0.0495428	0.001	0.2	0.00235932	0.0640468	1	0.00235932	1	1	1	7	2	5
TCERG1L	0.0257385	0.532102	0.0131621	0.2	0.113534	1.32743	0.279326	0.106944	1	0.641	0.58	28	5	6
KCNE3	0.00505965	0.228235	0.001	0.2	0.0259237	0.194071	1	0.0259237	1	1	1	14	1	6
PGAP2	0.0131546	-0.360853	0.001	0.2	0.0665097	-0.315882	1	0.0665097	1	1	1	3	1	6
